(p1, p2, p3, p4)    X          A          B          C          D          E
(0, 0, 5, 95) 2696.72998 -26.247989 -28.589012 -100.829873 -43.373353 -4624.6179
(0, 0, 5, 95) 2736.649902 -26.363034 -28.998334 -105.808082 -45.47398 -4849.068509999999
(0, 0, 5, 95) 2776.580078 -26.386646 -29.563154 -109.460115 -46.712302 -4984.969265000001
(0, 0, 5, 95) 2816.5 -26.202283 -29.146798 -109.255159 -47.308778 -5040.609704999999
(0, 0, 5, 95) 2856.429932 -27.631809 -30.17862 -115.616698 -51.499658 -5470.5509999999995
(0, 0, 5, 95) 2896.350098 -26.985696 -28.976306 -118.055505 -53.223696 -5646.528645
(0, 0, 5, 95) 2936.27002 -27.341386 -28.85116 -119.011303 -53.143089 -5643.64997
(0, 0, 5, 95) 2976.199951 -28.969982 -30.112609 -128.157223 -58.834896 -6230.101235
(0, 0, 10, 90) 540.840027 -4.493891 -4.798112 -8.463691 -1.442118 -214.42753
(0, 0, 10, 90) 580.76001 -5.153181 -5.446817 -9.945205 -2.012901 -280.61314
(0, 0, 10, 90) 620.690002 -6.076205 -6.081969 -11.45033 -2.600384 -348.53786
(0, 0, 10, 90) 660.609985 -6.770444 -6.605384 -12.769392 -2.942508 -392.51964
(0, 0, 10, 90) 700.539978 -7.418428 -7.181102 -14.398972 -3.303624 -441.31588
(0, 0, 10, 90) 730.47998 -7.850117 -7.554068 -15.497352 -3.669092 -485.1918
(0, 0, 10, 90) 750.440002 -7.964179 -7.706739 -16.047219 -3.839355 -506.01414
(0, 0, 10, 90) 770.400024 -8.34559 -7.782423 -16.740256 -3.958597 -523.67629
(0, 0, 10, 90) 790.369995 -8.548049 -7.777604 -17.219956 -4.160093 -546.60793
(0, 0, 10, 90) 810.330017 -8.690267 -7.61351 -17.68988 -4.363065 -569.57465
(0, 0, 10, 90) 830.289978 -8.827643 -7.427046 -18.168297 -4.575898 -593.51379
(0, 0, 10, 90) 850.25 -8.92044 -7.349163 -18.462665 -4.699265 -607.5604999999999
(0, 0, 10, 90) 870.210022 -9.335201 -7.518239 -19.216064 -5.011108 -643.1603600000001
(0, 0, 10, 90) 890.169983 -9.7416 -7.286324 -19.312454 -5.024339 -645.31505
(0, 0, 10, 90) 910.140015 -9.805917 -7.283362 -19.802782 -5.426196 -686.38546
